Jurisdiction,EffectivenessScore,CountryEffectivenessRating,TechnicalComplianceScore,TechnicalComplianceTcRating,Comments
Chinese Taipei,2.64,Moderate Effective,3.15,Largely Compliant,"This country is mainly compliant with 40 FATF recommendations, and from an effectiveness perspective, it is moderately effective because the immediate outcome is achieved to some extent. Significant improvements are needed to fix the deficiencies in the country's AML/CFT program, which prevents it from achieving the objective of the FATF standards and identifying any systemic weaknesses.  "
Tajikistan ,2.09,Moderate Effective,2.78,Largely Compliant,"This country is mainly compliant with 40 FATF recommendations, and from an effectiveness perspective, it is moderately effective because the immediate outcome is achieved to some extent. Significant improvements are needed to fix the deficiencies in the country's AML/CFT program, which prevents it from achieving the objective of the FATF standards and identifying any systemic weaknesses.  "
Thailand,2.09,Moderate Effective,2.73,Largely Compliant,"This country is mainly compliant with 40 FATF recommendations, and from an effectiveness perspective, it is moderately effective because the immediate outcome is achieved to some extent. Significant improvements are needed to fix the deficiencies in the country's AML/CFT program, which prevents it from achieving the objective of the FATF standards and identifying any systemic weaknesses.  "
Trinidad and Tobago,1.55,Low Effective,3.53,Compliant,"This country is mainly compliant with 40 FATF recommendations, and from an effectiveness perspective, it is low effective because the immediate outcome is not achieved or achieved to a negligible extent. Fundamental improvements are needed as the country's legal and institutional framework fails to implement a robust AML/CFT program and achieve FATF standards' objective to produce the expected results."
Tunisia,1.4,Low Effective,3.15,Largely Compliant,"This country is mainly compliant with 40 FATF recommendations, and from an effectiveness perspective, it is low effective because the immediate outcome is not achieved or achieved to a negligible extent. Fundamental improvements are needed as the country's legal and institutional framework fails to implement a robust AML/CFT program and achieve FATF standards' objective to produce the expected results."
Turkey,2,Moderate Effective,2.93,Largely Compliant,"This country is mainly compliant with 40 FATF recommendations, and from an effectiveness perspective, it is moderately effective because the immediate outcome is achieved to some extent. Significant improvements are needed to fix the deficiencies in the country's AML/CFT program, which prevents it from achieving the objective of the FATF standards and identifying any systemic weaknesses.  "
Turks&Caicos,1.64,Low Effective,2.98,Largely Compliant,"This country is mainly compliant with 40 FATF recommendations, and from an effectiveness perspective, it is low effective because the immediate outcome is not achieved or achieved to a negligible extent. Fundamental improvements are needed as the country's legal and institutional framework fails to implement a robust AML/CFT program and achieve FATF standards' objective to produce the expected results."
Uganda,1,Low Effective,2.63,Largely Compliant,"This country is mainly compliant with 40 FATF recommendations, and from an effectiveness perspective, it is low effective because the immediate outcome is not achieved or achieved to a negligible extent. Fundamental improvements are needed as the country's legal and institutional framework fails to implement a robust AML/CFT program and achieve FATF standards' objective to produce the expected results."
Ukraine,2.09,Moderate Effective,3.05,Largely Compliant,"This country is mainly compliant with 40 FATF recommendations, and from an effectiveness perspective, it is moderately effective because the immediate outcome is achieved to some extent. Significant improvements are needed to fix the deficiencies in the country's AML/CFT program, which prevents it from achieving the objective of the FATF standards and identifying any systemic weaknesses.  "
United Arab Emirates,1.73,Low Effective,3.13,Largely Compliant,"This country is mainly compliant with 40 FATF recommendations, and from an effectiveness perspective, it is low effective because the immediate outcome is not achieved or achieved to a negligible extent. Fundamental improvements are needed as the country's legal and institutional framework fails to implement a robust AML/CFT program and achieve FATF standards' objective to produce the expected results."
United Kingdom,3.09,Substantial Effective,3.53,Compliant,"This country is mainly compliant with 40 FATF recommendations, and from a country effectiveness perspective, it is substantially effective. The country's financial systems and broader economy are protected from the threats of money laundering and the financing of terrorism and proliferation, strengthening financial sector integrity and contributing to safety and security."
United States,3,Substantial Effective,2.9,Largely Compliant,"This country is mainly compliant with 40 FATF recommendations, and from a country effectiveness perspective, it is substantially effective. The country's financial systems and broader economy are protected from the threats of money laundering and the financing of terrorism and proliferation, strengthening financial sector integrity and contributing to safety and security."
Uruguay,2,Moderate Effective,3.33,Largely Compliant,"This country is mainly compliant with 40 FATF recommendations, and from an effectiveness perspective, it is moderately effective because the immediate outcome is achieved to some extent. Significant improvements are needed to fix the deficiencies in the country's AML/CFT program, which prevents it from achieving the objective of the FATF standards and identifying any systemic weaknesses.  "
Vanuatu,1,Low Effective,3.43,Largely Compliant,"This country is mainly compliant with 40 FATF recommendations, and from an effectiveness perspective, it is low effective because the immediate outcome is not achieved or achieved to a negligible extent. Fundamental improvements are needed as the country's legal and institutional framework fails to implement a robust AML/CFT program and achieve FATF standards' objective to produce the expected results."
Zambia,1.82,Low Effective,2.95,Largely Compliant,"This country is mainly compliant with 40 FATF recommendations, and from an effectiveness perspective, it is low effective because the immediate outcome is not achieved or achieved to a negligible extent. Fundamental improvements are needed as the country's legal and institutional framework fails to implement a robust AML/CFT program and achieve FATF standards' objective to produce the expected results."
Zimbabwe,1.18,Low Effective,3.33,Largely Compliant,"This country is mainly compliant with 40 FATF recommendations, and from an effectiveness perspective, it is low effective because the immediate outcome is not achieved or achieved to a negligible extent. Fundamental improvements are needed as the country's legal and institutional framework fails to implement a robust AML/CFT program and achieve FATF standards' objective to produce the expected results."
